target_N_star,selection_strategy,selection_strategy_label,time_index,selected_mean_abs_error_median_vs_full_ugm3,selected_mean_abs_error_p5_vs_full_ugm3,value_p25,value_p75,selected_mean_abs_error_p95_vs_full_ugm3,selected_mean_abs_error_mean_vs_full_ugm3,selected_mean_abs_error_sd_vs_full_ugm3,n_outer_draws,selected_mean_ape_median_vs_full_pct,selected_mean_ape_p5_vs_full_pct,selected_mean_ape_p95_vs_full_pct
50,kmeans_stratified,k-means stratified,2026-05-11,0.11257747543461782,0.01588300925925994,0.05694290910808775,0.18978587962962945,0.2694392592592604,0.12318557877808313,0.08379303086826202,50,1.8155488213682245,0.25614696571497936,4.345275355393639
50,kmeans_stratified,k-means stratified,2026-05-12,0.05906670445956186,0.0030754119425555173,0.02180801209372607,0.09230234315948893,0.14463796336501514,0.06234533167687873,0.04525795252259116,50,1.0306593297023123,0.053663092266181725,2.5237986059193775
50,kmeans_stratified,k-means stratified,2026-05-13,0.04586857187112647,0.004038094795539848,0.0169394052044618,0.06477269602078684,0.10607737153629072,0.04866185989289342,0.036052443402363826,50,0.8065001525153945,0.07100120922937572,1.8651423585373033
50,kmeans_stratified,k-means stratified,2026-05-14,0.06564561742691977,0.013288053505534903,0.030777002221552108,0.12543498757436522,0.1768830860757574,0.07969357557792693,0.05397986385648267,50,1.0662824079629862,0.21583798346928867,2.8731137026588343
50,kmeans_stratified,k-means stratified,2026-05-15,0.07923422146636527,0.008489765684052042,0.04282690854119453,0.12166938303099184,0.15422975718065118,0.08236111813898163,0.05785905951608112,50,1.2594260027621125,0.13494461688364592,2.45147819967479
50,kmeans_stratified,k-means stratified,2026-05-16,0.08396780045351449,0.007014943310658063,0.03815555555555372,0.14664739229024626,0.30220613662131607,0.11067567583345372,0.09003500964238838,50,0.9914073991572827,0.08282540051415865,3.5681463406079876
50,kmeans_stratified,k-means stratified,2026-05-17,0.1130017006802726,0.02665102935382242,0.05612704845531802,0.22043613000755613,0.36440452569916687,0.15290132143259177,0.11707726827084836,50,0.9054730939254264,0.21355244974216375,2.919942720674956
50,kmeans_stratified,k-means stratified,2026-05-18,0.09424045729403296,0.007818901171580706,0.03767849584278116,0.15222864701436434,0.4867910733182137,0.15050525991862546,0.1631140708455525,50,0.9565113439462327,0.07935941614202009,4.940778059977808
50,kmeans_stratified,k-means stratified,2026-05-19,0.08393287037037211,0.01792311859731961,0.04813246409674776,0.1680149281935015,0.4273422146636436,0.1424017261784148,0.13635357038436569,50,1.2783530015682205,0.2729809233884436,6.508703924951418
50,kmeans_stratified,k-means stratified,2026-05-20,0.06005648148148168,0.006559351851852258,0.04397793538219075,0.10581141345426937,0.20994028722600216,0.08264450563677,0.06714526822546771,50,1.4470924732718204,0.15805102896818585,5.058621517395237
50,kmeans_stratified,k-means stratified,2026-05-21,0.08465348639455872,0.005845663265305801,0.04108418367346944,0.12245216836734785,0.23809502551020248,0.09507861839629472,0.07463557294772064,50,1.5882455233500696,0.10967473293256663,4.467073649347138
50,kmeans_stratified,k-means stratified,2026-05-22,0.0737376871552411,0.010677674852448771,0.032325911452049993,0.1197613000755875,0.2513246409674988,0.08845222069442431,0.07076927104291555,50,1.3246731782105257,0.19182089957491388,4.514964108002574
50,kmeans_stratified,k-means stratified,2026-05-23,0.07583586626139738,0.008496301221434433,0.04201718873128368,0.13341862717309239,0.25919798941798966,0.10207387322494,0.08123249555637586,50,1.1119145410527018,0.12457378466164698,3.8003919207842167
50,kmeans_stratified,k-means stratified,2026-05-24,0.09115342789598024,0.015616430260046067,0.06495902777777784,0.22965568310657547,0.4048230158730143,0.15357084638394344,0.12868245810761855,50,0.6889151693052931,0.11802513569561952,3.0595527009372696
50,kmeans_stratified,k-means stratified,2026-05-25,0.20225555555555808,0.031321612811790536,0.08316607565012202,0.3799852607709755,0.5639548173879504,0.25248412452356894,0.1803578669382381,50,1.554324065851512,0.24070506464419938,4.333965226869624
50,kmeans_stratified,k-means stratified,2026-05-26,0.07779665427509386,0.013130334572490066,0.04205683777584568,0.12748710264775065,0.19378861856080756,0.08919565847117152,0.05905868207867338,50,0.9840083884254891,0.1660785991705534,2.451128882367249
50,kmeans_stratified,k-means stratified,2026-05-27,0.13397321428571551,0.021344435171835843,0.07220516046428838,0.2063329555800011,0.32735077004779684,0.14491091314760496,0.0931549248194327,50,1.2469178799907783,0.19865730620828934,3.0467249022692773
50,kmeans_stratified,k-means stratified,2026-05-28,0.05590652106567706,0.0099552354399008,0.027305638798269083,0.08943543263030374,0.1529696912222123,0.06525492029576198,0.046375032650318476,50,0.881578883092041,0.15698214041463832,2.4121488328023397
